Propertyname_name,Propertyname_address,Propertyname_price,Propertyname_Name,Propertyname_location,Propertyname_description,Propertyname_imageurl,Bathroom(s),Bedroom(s),Built-up area,Built-up price,Car Parks,Lot type,Property type,price_per_sqft
Taman Puncak Jalil,"Seri Kembangan, Selangor",5000.0,"3 Storey Terrace House Taman Puncak Jalil, Seri Kembangan Selangor For Rent","Taman Puncak Jalil, Seri Kembangan, Selangor","WTL
3 Storey Terrace House Taman Puncak Jalil, Seri Kembangan Selangor For Rent
Asking Price : RM5,000.00
Descripti...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDM0NjJfMTc0ODgyMTEzOF81RWRnUHJvNV8yMDIzMDgwOV8xMTI5MjNfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IldBTiBOVVJBTkkiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,3.0,5.0,2350.0,RM 2/sqft,2.0,,terrace house,2.127659574468085
Taman Puteri Wangsa,"Ulu Tiram, Johor",1800.0,Puteri Park Single Storey Terrace For Rent 24x70,"Taman Puteri Wangsa, Ulu Tiram, Johor","Single Storey Terrace For Rent (24x70)
Taman Puteri Wangsa, Puteri Park
🚩Jalan Puteri
81800 Ulu Tiram
✅ Intermediate ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDE4MjhfMTc0ODE0NDE5MV81RWRnUHJvNV93aGF0c2FwcGltYWdlMjAyNTA1MjRhdDA5LjM1LjQ0XzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJQQVVMIFRFRSIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,1200.0,RM 1/sqft,2.0,non bumi lot,terrace house,1.5
Taman Saujana Permai,"Jalan Saujana Permai 1, Bukit Mertajam, Penang",2600.0,2 Story Semi D House for Rent@ Kota Permai Bukit Mertajam,"Taman Saujana Permai, Bukit Mertajam, Penang","2 Story Semi D House for Rent@ Kota Permai Bukit Mertajam
-Location : Kota Permai Bukit Mertajam Penang
-4 Bedrooms and 3 Bathrooms
-Land Area : 3300sq ft
-Built up: 2400s...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC85ODUzM18xNzQ5MDk4NzIyXzVFZGdQcm81X2IwMzM2YTk2OTYzNTQwZjM4MWU2NGRlN2I3NzMyZmNiXzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJKb2NlbHluIE5lb2giLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,3.0,4.0,2400.0,RM 1/sqft,3.0,non bumi lot,bungalow / detached house,1.0833333333333333
Taman Sejahtera,"Alma, Penang",980.0,Taman Sejahtera Alma Teres 1 Tkt 3 Bilik Baru Dicat Dekat Padang Surau Sekolah Kawasan Bebas Banjir Direct Owner,"Taman Sejahtera, Alma, Penang","Taman Sejahtera, Alma 1 Storey For Rent >Direct Owner
( Just Refurbished & Partially furnished)
House details:
* FREEHOLD with individual title
* Newly pai...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDU1NTdfMTc0ODU5NTMwNl81RWRnUHJvNV9lZGl0NF8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiIgICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,3.0,750.0,RM 1/sqft,2.0,non bumi lot,terrace house,1.3066666666666666
Taman Sejahtera,"Jalan 10/42, Taman Sejahtera, Jinjang, Kuala Lumpur",2800.0,Double Storey House in Segambut For Rent Now,"Taman Sejahtera, Jinjang, Kuala Lumpur","Double Storey House in Segambut For Rent Now
Immediately available!!!
This house is located in Taman Sejahtera, Segambut, near amenities. It is a partly furnished house and you can just move in your own furniture for a more cosy and comfortable living.
For rent at RM2800, make appointment to view today! Call us @ 0192553...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDEyMDFfMTc0ODQyOTY1Nl81RWRnUHJvNV9pbWcyMDI1MDUyOHdhMDAyN18wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJQQVVMRUVOIFRFT0ggIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,3.0,4.0,1700.0,RM 1/sqft,2.0,non bumi lot,terrace house,1.6470588235294117
Taman Semarang Intan,"Jalan SI 9, Dengkil, Selangor",1500.0,"2 Storey Terrace (Intermediate) Taman Semarang Intan, Dengkil","Taman Semarang Intan, Dengkil, Selangor","2 Storey End Lot Taman Semarang Intan, Dengkil
=======================
Rental Price : RM 1,500
=======================
PROPERTY DETAI...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDI3NTlfMTc0Nzg5NjM3MV81RWRnUHJvNV8yXzAuamZpZiIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJBWlVBTiIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,4.0,4.0,1900.0,RM 0/sqft,2.0,non bumi lot,terrace house,0.7894736842105263
Taman TTDI Jaya,"Taman TTDI Jaya, Selangor",2500.0,Fully Furnished 2 Storey End Lot Link House Taman TTDI Jaya Shah Alam for Rent,"Taman Ttdi Jaya, Taman Ttdi Jaya, Selangor","Still aavailable
620.
Fully Furnished 2 Storey End Lot Link House Taman TTDI Jaya Shah Alam
- Rental RM2,500
- 4 rooms 3 baths
- Size 1,800 sqft (24x75) spacious build-up
- Extra 10 ft land on th...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDM0NjJfMTc0ODYxNDEzOF81RWRnUHJvNV9pbWdfNzUyM18wLmpwZWciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiV0FOIE5VUkFOSSIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,3.0,4.0,1800.0,RM 1/sqft,2.0,,terrace house,1.3888888888888888
Taman Tun Dr Ismail (TTDI),"Jalan Datuk Sulaiman, Taman Tun Dr Ismail, Kuala Lumpur",15000.0,Fully renovated bungalow for rent in Taman Tun Dr Ismail TTDI,"Taman Tun Dr Ismail (Ttdi), Taman Tun Dr Ismail, Kuala Lumpur","•Double-storey bungalow in guarded area of Taman Tun Dr Ismail
•5,000+ sq ft builtup (approx.)
•5+1 bedrooms, 5 bathrooms
•Fully renovated
•Fully furnished
•Large living and dining areas
•Very spacious dry and wet kitchens with extensive ca...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC83NzQ4NV8xNjcwMjE5NDYwXzVFZGdQcm81X2F0MDFfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiICAiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,5.0,6.0,5000.0,RM 3/sqft,2.0,,bungalow / detached house,3.0
The Brezza,"Jalan Tanjong Tokong, 10470, Penang, Tanjung Tokong, Penang",2100.0,The Brezza,"The Brezza, Tanjung Tokong, Penang","THE BREZZA @ TANJUNG TOKONG
3 bedrooms | 3 bathrooms | 1450 sqft | 2 carparks
Partially furnished | Prime location
Monthly rent: RM2,100
Amenities (by drive):
-Straits Quay Mall (5 ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDU4OTZfMTc0ODgzMTkyNl81RWRnUHJvNV93aGF0c2FwcGltYWdlMjAyNTA2MDJhdDguNTIuMTJhbTFfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlpBQyBPTkciLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,3.0,3.0,1450.0,RM 1/sqft,2.0,,condominium,1.4482758620689655
The Heritage Residences,"Jalan SB Dagang, Seri Kembangan, 43300, Selangor, Seri Kembangan, Selangor",1200.0,The Heritage Residences,"The Heritage Residences, Seri Kembangan, Selangor","Fully Furnished The Heritage Residences Near Serdang UPM & Klinik Kesihatan Seri Kembangan---For RENT
- 480 Sq.ft
-1 Car Park
-Fully Furnished
- 3 minutes walk to The Mines Shopping mall with fast food stores, restaurants, cineplex, IT stores, grocery st...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDI4OTRfMTc0ODI0NDA4OV81RWRnUHJvNV9pbWcyMDE5MDYxMDE1MTYzMl8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJTVEVQSEFOSUUgQ0hPTyIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,1.0,480.0,RM 2/sqft,1.0,non bumi lot,condominium,2.5
The Maple Residences,"Jalan Bestari 7/KS09, Klang, Selangor",1700.0,The Maple Residences,"The Maple Residences, Klang, Selangor","Maple Residence Klang , Bandar Bestari
ID Unit Fully Furnished For Rent
RM 1700 only!
850sqft
2+1 Room
2 bat...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDM1ODBfMTc0Mjg4NDI5NV81RWRnUHJvNV9pbWcyMDI1MDMyMndhMDI4OV8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiIgICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,850.0,RM 2/sqft,2.0,non bumi lot,condominium,2.0
The Plaza Condominium,"Jalan Wan Kadir 3,, 60000, Kuala Lumpur, Taman Tun Dr Ismail, Kuala Lumpur",4500.0,The Plaza Condominium,"The Plaza Condominium, Taman Tun Dr Ismail, Kuala Lumpur","Discover Refined Living in the Heart of Taman Tun Dr Ismail
Nestled in the vibrant, well-established community of Taman Tun Dr Ismail, this thoughtfully designed home offers the perfect blend of elegance, convenience, and urban charm.
~ Mature and thriving neighborhood
~ Corner unit with cityscape views
~ Bright & ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC85NjY2Nl8xNzQ3ODE4ODc2XzVFZGdQcm81X2ltZ183NTUxXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IkFOR0lFIENIQUkiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,3.0,4.0,1848.0,RM 2/sqft,2.0,non bumi lot,condominium,2.435064935064935
The Strata @ Bandar Puteri Bangi,"Persiaran Mahkota, Bangi, Selangor",1950.0,"FOR RENT PARTLY FURNISHED TOWNHOUSE LOWER UNIT – THE STRATA, BANDAR SRI PUTRI BANGI","The Strata @ Bandar Puteri Bangi, Bangi, Selangor","✅ TOWNHOUSE LOWER UNIT FOR RENT – THE STRATA, BANDAR SRI PUTRI BANGI ✅
💰 Rental: RM1,950/month
📏 1,788 sqft | 3 Bedrooms | 3 Bathrooms
🏠 3-Storey Townhouse (Lower Unit)
🚪 Partly Furnished Unit – Ready to Move In
🛡 Gated & Guarded Comm...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDI3MjBfMTc0NzgzMDkyM181RWRnUHJvNV9pbWcyMDI1MDUyMXdhMDEwMl8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJFZmZ5IEhhbGltIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,3.0,3.0,1555.224852071006,RM -,2.0,,town house,1.2538379883804545
The Troika,"Jalan Binjai, 50450, Kuala Lumpur, KL City, Kuala Lumpur",11000.0,The Troika,"The Troika, Kl City, Kuala Lumpur","- Location: The Troika KLCC, Kuala Lumpur
- Rental Price: RM11,000 per month
- Size: 2,615 square feet
- Bedrooms: 3+2, providing ample space for family or guests
- Bathrooms: 5, ensuring convenience and privacy
- View: Located on a high floor with stunning views of Merdeka 118 and KL Tower
- Furnishing: Fully furnished, offering a ready-to-move-in expe...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDAwMzJfMTc0ODc1MjcxOF81RWRnUHJvNV9pbWdfOTcxMF8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJXSU5OSUUgQ0hPTkciLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,5.0,5.0,2615.0,RM 4/sqft,2.0,,condominium,4.2065009560229445
The Wharf Residence,"Jalan Tasik Prima 6/2 & Persiaran Tmn Tasik Prima 3, Taman Tasik Prima, 47150 , Selangor, Puchong, Selangor",1200.0,The Wharf Residence,"The Wharf Residence, Puchong, Selangor","The Wharf residence for rent
The Wharf residence for rent
The Wharf residence for rent",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDQ5ODZfMTc0ODU4OTMwOV81RWRnUHJvNV8xNzQ4NTg5MzA4NjAxXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IkJPTklFIFRBTiIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,818.0,RM 1/sqft,1.0,non bumi lot,condominium,1.466992665036675
The Zizz,"Jalan PJU 10/1a, Damansara Damai, Selangor",1800.0,The Zizz,"The Zizz, Damansara Damai, Selangor","The Zizz Corner
1138sf
3 rooms 2 bathrooms
2 parkings
Well kept
Open for rent now please call
0128278572 Amy (PEA...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8yNTcyOV8xNzQ4MzMzMTQ1XzVFZGdQcm81XzIwMjQxMjA3XzA5NDQ0OV8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJBbXkgSG8iLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,1138.0,RM 1/sqft,2.0,non bumi lot,condominium,1.5817223198594024
United Point Residence (Residensi Bersepadu),"Jalan Lang Emas, Segambut, Kuala Lumpur",1599.0,United Point Residence (Residensi Bersepadu),"United Point Residence (Residensi Bersepadu), Segambut, Kuala Lumpur","United Point Residence, Segambut for rent!!
829sqft (2+1 room, 2bathrooms)
Partial furnished RM1600
1carpark @ Level 5
High floor
Balcony facing swimming...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDM1NDZfMTc0ODk0NDg1NV81RWRnUHJvNV91bml0ZWRfcG9pbnRfcmVzaWRlbmNlX19jb25kb21pbml1bTE4XzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6Ik1JQ0hFTExFIFlVSU4iLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,829.0,RM 1/sqft,1.0,non bumi lot,condominium,1.9288299155609168
Utropolis @ Batu Kawan,"Lebuhraya Bandar Cassia, Batu Kawan, Penang",1600.0,Utropolis @ Batu Kawan,"Utropolis @ Batu Kawan, Batu Kawan, Penang","[FOR RENT] Suasana @ Utropolis, Batu Kawan
Property Details:
Fully Furnished
Move-in Condit...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC85OTYzMl8xNzQ3MzE5MjUwXzVFZGdQcm81XzE3NDczMTkyNDQzMDBfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiTElMWSBPTkciLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,1072.0,RM 1/sqft,2.0,,condominium,1.492537313432836
Utropolis Suites 1,"Persiaran Kerjaya Off Jalan Kontraktor U1/14, Glenmarie, Selangor",1700.0,Utropolis Suites 1,"Utropolis Suites 1, Glenmarie, Selangor","Utropolis Urbano Glenmarie, Shah Alam
Fully Furnished Condo Unit for Rent
-Built-Up: 639 sqft;
- 2 bedrooms, 1 bathroom
Fully Furnished ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC85Nzg2MV8xNjM2MjcyNTEwXzVFZGdQcm81X3Bob3RvMjAyMTA4MTYxMzUxNDkxXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlRIT01BUyBUSEkiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,1.0,2.0,639.0,RM 2/sqft,1.0,,condominium,2.6604068857589986
Utropolis Suites 2,"Off Jalan Kontraktor U1/14, 40150, Selangor, Glenmarie, Selangor",1200.0,Utropolis Suites 2,"Utropolis Suites 2, Glenmarie, Selangor","Utropolis Studio unit with balcony for RENT!!!
* 477sqt
* air conditioner , Fan , Heater
* washing machine
* Single Bed
* Fridge (Small)",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC81NjQ4OV8xNzA5ODI0MDM5XzVFZGdQcm81XzUxZWNjMGIxMzczNjRlYmZhZWRmOWVhZTFjYTYzYzA5XzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlNIRVJPTiBUQU4gICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,3.0,447.0,RM 2/sqft,1.0,non bumi lot,condominium,2.684563758389262
Verando Residences,"PJ South Sentral, 46000, Selangor, Petaling Jaya, Selangor",2300.0,Verando Residences,"Verando Residences, Petaling Jaya, Selangor","Verando Residence condo To Let
Built up: 1101sf
Block A
Type : A1
Rooms : 3 bedrooms + 2 bathrooms
Rental R...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC9zdHlsZXNcLzEwMjg0Ml8xNzQyOTgwNTQzXzVFZGdQcm81XzEwMjg0Ml8xNjg2MjExMTQ0XzVlZGdwcm81XzhlMmVlNTA3ZTRhZjQwOWE4NGVkNDUyZTE5OWQzOWUyXzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJKRVNTSUUgT05HICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,1101.0,RM 2/sqft,2.0,,condominium,2.089009990917348
Villa Makmur,"Jalan Dutamas Raya, Segambut, 52100, Kuala Lumpur, Dutamas, Kuala Lumpur",2800.0,Villa Makmur,"Villa Makmur, Dutamas, Kuala Lumpur","Hi, Thank you for reaching my listing.
FOR RENT : Low Density Condominium Villa Makmur Mont Kiara Segambut Dutamas Kuala Lumpur KL
ACTUAL UNIT PICTURES
1,28...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC85NjAwNV8xNzQ4NjU1OTkyXzVFZGdQcm81XzYxNzg5ODYyNTE2NzY0MDM0MjJfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiSEFGSVogU0hBUklGRiIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,1280.0,RM 2/sqft,1.0,,condominium,2.1875
Vista Indah Putra,"Jalan Batu Unjur 8, 42000, Selangor, Klang, Selangor",1300.0,Vista Indah Putra,"Vista Indah Putra, Klang, Selangor","Vista Indah Putra Apartment @ Jalan Batu Unjur 8 Bayu Perdana Klang for Rent 吧生公寓出租
Walking distance to Pasar Mini, Restaurants, 99 Speedmart, Bus station, Clinic & Pharmacy
Details:
~Gated & Guarded Community
~Basic ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDM0NTBfMTc0OTAxMjgzN181RWRnUHJvNV9pbWcyMDI1MDUyMndhMDA5MV8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiIgICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,970.0,RM 1/sqft,1.0,non bumi lot,condominium,1.3402061855670102
Wave @ Marina Cove,"Johor Bahru, Johor",2350.0,Wave @ Marina Cove,"Wave @ Marina Cove, Johor Bahru, Johor","For Rent
Wave Marina Cove @ JB Town
> 3 bedroom
> 2 bathroom
> Partial Furniture
> 1103 sqft (type 3A)
~ 4 ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDM4NTRfMTc0ODM2MDQ5OV81RWRnUHJvNV9kYXJrYmx1ZW1pbmltYWxpc3RyZWFsZXN0YXRlZmFjZWJvb2twb3N0XzAucG5nIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IllpIEVuIFB1YWgiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,1103.0,RM 2/sqft,2.0,non bumi lot,condominium,2.130553037171351
